Cases1998	CasesPerThousand1998	Population1998	Cases1999	CasesPerThousand1999	Population1999	Cases2000	CasesPerThousand2000	Population2000	Cases2001	CasesPerThousand2001	Population2001	Cases2002	CasesPerThousand2002	Population2002	Cases2003	CasesPerThousand2003	Population2003	Cases2004	CasesPerThousand2004	Population2004	Cases2005	CasesPerThousand2005	Population2005	Cases2006	CasesPerThousand2006	Population2006	Cases2007	CasesPerThousand2007	Population2007	Cases2008	CasesPerThousand2008	Population2008	Cases2009	CasesPerThousand2009	Population2009	Cases2010	CasesPerThousand2010	Population2010	Cases2011	CasesPerThousand2011	Population2011	Cases2012	CasesPerThousand2012	Population2012	Cases2013	CasesPerThousand2013	Population2013	Cases2014	CasesPerThousand2014	Population2014
Herrljunga	0	0	9376	0	0	9274	0	0	9282	0	0	9284	0	0	9314	0	0	9348	0	0	9280	2	0.214961306964746	9304	0	0	9243	1	0.107469102632993	9305	0	0	9417	1	0.105932203389831	9440	0	0	9486	0	0	9471	0	0	9447	0	0	9456	0	0	9536
Hjo	0	0	8885	0	0	8805	0	0	8832	0	0	8790	0	0	8841	0	0	8859	0	0	8809	0	0	8809	0	0	8853	0	0	8849	0	0	8822	0	0	8844	0	0	8845	0	0	8827	0	0	8787	0	0	8801	0	0	8928
Hofors	0	0	9431	0	0	9511	0	0	9521	0	0	9578	0	0	9741	0	0	9873	1	0.101050929668553	9896	0	0	10039	0	0	10091	0	0	10197	0	0	10237	0	0	10338	0	0	10372	0	0	10501	0	0	10624	0	0	10780	1	0.0910166560480568	10987
Huddinge	0	0	104185	1	0.00975067523425997	102557	0	0	101010	0	0	99049	0	0	97453	1	0.0104386312866657	95798	0	0	94209	0	0	91827	0	0	90182	0	0	88750	0	0	87681	3	0.0344348664501096	87121	5	0.0578322171715419	86457	4	0.0466744457409568	85700	5	0.0591470988348022	84535	2	0.0241341860745746	82870	3	0.0368826762069856	81339
Hudiksvall	0	0	36924	0	0	36829	0	0	36821	0	0	36784	1	0.0271377785014519	36849	0	0	36848	0	0	36905	0	0	36927	0	0	36956	0	0	37004	0	0	36970	0	0	37057	1	0.026992010364932	37048	2	0.0536365586783952	37288	0	0	37454	0	0	37556	0	0	37753
Hultsfred	0	0	13738	0	0	13635	0	0	13550	0	0	13515	0	0	13696	0	0	13855	1	0.0711946461626086	14046	0	0	14196	0	0	14306	0	0	14456	0	0	14591	0	0	14739	0	0	14893	0	0	14977	0	0	15163	0	0	15275	0	0	15656
Hylte	0	0	10278	0	0	10001	0	0	10032	0	0	10126	0	0	10177	0	0	10277	1	0.0973425484279178	10273	0	0	10257	0	0	10371	0	0	10368	0	0	10432	0	0	10377	0	0	10401	0	0	10493	0	0	10479	1	0.0953743443013829	10485	0	0	10559
Håbo	0	0	20034	0	0	19968	0	0	19883	0	0	19715	1	0.050945030312293	19629	1	0.0514085955171705	19452	8	0.416124837451235	19225	0	0	18931	1	0.0536567044052154	18637	0	0	18569	0	0	18378	0	0	18115	0	0	17864	0	0	17648	0	0	17468	0	0	17287	1	0.0583464612871229	17139
Hällefors	0	0	6936	0	0	6982	0	0	6988	0	0	7140	0	0	7220	0	0	7333	0	0	7361	0	0	7475	0	0	7539	0	0	7627	0	0	7688	0	0	7712	0	0	7794	0	0	7879	0	0	8025	0	0	8095	0	0	8252
Härjedalen	0	0	10224	0	0	10281	0	0	10246	0	0	10341	0	0	10454	0	0	10585	0	0	10645	0	0	10699	0	0	10764	0	0	10889	0	0	10951	0	0	11065	0	0	11289	0	0	11327	0	0	11415	0	0	11594	0	0	11723
Härnösand	0	0	24755	0	0	24509	1	0.040986966144766	24398	1	0.0407481357727884	24541	1	0.0406322376173256	24611	0	0	24675	1	0.0404596212979446	24716	2	0.0802503811893106	24922	2	0.0797448165869219	25080	2	0.0792801363618345	25227	0	0	25273	0	0	25272	1	0.0396935656730044	25193	0	0	25227	0	0	25493	0	0	25950	1	0.0379290726341741	26365
Härryda	0	0	36291	0	0	35732	0	0	35223	0	0	34854	0	0	34463	0	0	34007	0	0	33580	0	0	32969	0	0	32395	0	0	32049	0	0	31676	0	0	31208	0	0	30844	0	0	30547	0	0	30276	0	0	29842	0	0	29473
Hässleholm	0	0	50565	3	0.0597288311067752	50227	1	0.0199350118613321	50163	1	0.0199346144645563	50164	1	0.0199572913964117	50107	2	0.0399712207210808	50036	0	0	50006	1	0.0200883889112093	49780	1	0.020250703711954	49381	0	0	49148	4	0.0817243845132291	48945	0	0	48787	0	0	48536	0	0	48519	0	0	48580	0	0	48803	0	0	49046
Höganäs	0	0	25298	0	0	25084	0	0	24863	0	0	24698	1	0.0405893574704712	24637	0	0	24480	0	0	24248	1	0.0415541242468315	24065	0	0	23857	0	0	23482	2	0.0864491030905554	23135	0	0	23003	0	0	22790	1	0.043988914793472	22733	0	0	22639	0	0	22658	0	0	22612
Högsby	0	0	5782	0	0	5718	0	0	5730	0	0	5768	0	0	5777	0	0	5873	0	0	5930	0	0	5931	0	0	6033	0	0	6066	0	0	6244	0	0	6348	0	0	6300	0	0	6349	0	0	6380	0	0	6544	0	0	6717
Hörby	0	0	14927	1	0.0670376080981431	14917	0	0	14958	0	0	14901	0	0	14840	0	0	14762	2	0.135528901538253	14757	0	0	14584	0	0	14540	0	0	14274	0	0	14216	0	0	14051	0	0	13949	0	0	13774	0	0	13742	0	0	13773	0	0	13760
Höör	1	0.0634115409004439	15770	1	0.0639508857197672	15637	0	0	15526	0	0	15492	0	0	15460	0	0	15261	1	0.0664937828313053	15039	0	0	14924	0	0	14777	0	0	14604	0	0	14520	0	0	14278	0	0	14169	0	0	14088	1	0.0715512306811677	13976	0	0	13807	0	0	13765
Jokkmokk	0	0	5086	0	0	5066	0	0	5086	0	0	5119	0	0	5170	0	0	5210	1	0.188501413760603	5305	0	0	5406	0	0	5491	0	0	5534	0	0	5599	0	0	5633	0	0	5782	1	0.16849199663016	5935	0	0	6019	0	0	6146	0	0	6305
Järfälla	2	0.0282881430248511	70701	5	0.0722888082467072	69167	1	0.0146606069491277	68210	2	0.029708853238265	67320	0	0	66211	2	0.0306302167087832	65295	1	0.0155388081734131	64355	0	0	63427	6	0.0962433030701614	62342	8	0.129569343893235	61743	4	0.0649730361899812	61564	7	0.113871130414979	61473	1	0.0163158753467124	61290	4	0.0654321795459007	61132	2	0.0330737047510377	60471	3	0.0498438226889081	60188	1	0.0167115092163973	59839
Jönköping	1	0.00756773119418798	132140	5	0.0382268842031224	130798	3	0.0231699593753379	129478	2	0.0155878570593508	128305	3	0.0235512081769795	127382	1	0.00791571348283478	126331	4	0.0319606245106029	125154	8	0.0646678899675852	123709	5	0.0409185393718186	122194	0	0	120965	2	0.016676811727134	119927	3	0.0251382604323781	119340	4	0.0337322167969574	118581	2	0.016964103956029	117896	1	0.0085400742986464	117095	3	0.0257856013202228	116344	1	0.00862835103583354	115897
Kalix	0	0	16307	1	0.0610239824250931	16387	1	0.0605400169512047	16518	1	0.0602736423362064	16591	0	0	16740	0	0	16926	0	0	17162	1	0.0578603251750275	17283	0	0	17396	0	0	17483	1	0.0566475953095791	17653	0	0	17702	0	0	17805	0	0	17847	1	0.0555709919422062	17995	0	0	18143	1	0.0543242068665798	18408
Kalmar	1	0.0154616859422351	64676	2	0.0313052733732997	63887	0	0	63671	0	0	63055	0	0	62815	1	0.0160287234724627	62388	0	0	61693	1	0.0162514423155055	61533	0	0	61321	3	0.0492416781563916	60924	1	0.0164883180266781	60649	1	0.0165521807498138	60415	0	0	60066	2	0.0334520882466088	59787	0	0	59308	2	0.0338283549270999	59122	1	0.0170044891851449	58808
Karlsborg	0	0	6786	0	0	6757	0	0	6699	0	0	6722	0	0	6752	0	0	6784	0	0	6790	0	0	6850	0	0	6880	0	0	6898	0	0	6905	0	0	6923	0	0	6967	0	0	7038	0	0	7100	0	0	7198	0	0	7322
Karlshamn	0	0	31598	0	0	31272	0	0	31132	0	0	31185	0	0	31143	0	0	30918	0	0	30959	0	0	31052	0	0	31179	0	0	31006	0	0	30847	0	0	30779	0	0	30739	0	0	30648	0	0	30741	2	0.0650279620236702	30756	0	0	30995
Karlskoga	0	0	30054	0	0	29728	0	0	29631	0	0	29616	0	0	29668	1	0.0336224867191177	29742	1	0.033476164970541	29872	0	0	29988	0	0	30159	0	0	30185	0	0	30343	0	0	30532	1	0.0326797385620915	30600	0	0	30832	0	0	31293	0	0	31530	0	0	32006
Karlskrona	2	0.0310809970783863	64348	2	0.0312930279133809	63912	1	0.0157008054513197	63691	0	0	64215	1	0.0156171914042979	64032	2	0.0315746266300401	63342	0	0	62804	1	0.0160415797747762	62338	1	0.0161697173533407	61844	0	0	61383	1	0.0163567070677331	61137	1	0.0164319634553133	60857	0	0	60676	0	0	60596	0	0	60564	0	0	60396	0	0	60429
Karlstad	1	0.0113186191284663	88350	3	0.0341740140796938	87786	0	0	86929	3	0.0347186057007951	86409	2	0.0233227992023603	85753	1	0.0118013595166163	84736	4	0.0476224492225635	83994	0	0	83641	1	0.0120659282318589	82878	1	0.0121808614305204	82096	0	0	81768	1	0.012293620840146	81343	1	0.0123557466577705	80934	2	0.024768415316788	80748	1	0.0124497341981749	80323	1	0.0125023441895355	79985	3	0.0376581642900181	79664
Katrineholm	3	0.0901767464229891	33268	0	0	32930	0	0	32549	1	0.0308556265234966	32409	1	0.0308375477981991	32428	0	0	32303	2	0.0620983016114509	32207	3	0.0932777812325104	32162	0	0	32029	0	0	32185	0	0	32258	0	0	32418	0	0	32381	0	0	32391	0	0	32370	0	0	32527	1	0.0305586114166972	32724
Kil	0	0	11885	0	0	11810	0	0	11782	0	0	11682	1	0.085426277122843	11706	0	0	11717	0	0	11674	0	0	11748	1	0.0847242226552571	11803	0	0	11813	0	0	11844	1	0.0840972163821378	11891	0	0	11892	0	0	11924	0	0	11912	0	0	11937	0	0	12025
Kinda	0	0	9795	0	0	9802	0	0	9744	0	0	9799	1	0.102438024994878	9762	1	0.101926409132606	9811	0	0	9885	0	0	9947	0	0	9918	0	0	9946	0	0	9953	0	0	9981	0	0	10014	0	0	10096	0	0	10129	0	0	10105	0	0	10247
Kiruna	0	0	23241	0	0	23196	0	0	22972	0	0	22967	0	0	22944	0	0	22969	0	0	23099	0	0	23122	0	0	23258	0	0	23135	0	0	23254	0	0	23407	3	0.127361494374867	23555	0	0	23849	0	0	24314	0	0	24834	0	0	25148
Klippan	0	0	16733	1	0.0598265031408914	16715	0	0	16660	0	0	16601	0	0	16515	3	0.183127823220608	16382	3	0.183643486777669	16336	0	0	16254	1	0.0620886626102074	16106	0	0	16048	1	0.0625078134766846	15998	0	0	15963	0	0	15745	1	0.0645661157024793	15488	0	0	15541	0	0	15660	1	0.0630437523641407	15862
Knivsta	1	0.0620925178515989	16105	0	0	15580	0	0	15279	0	0	14965	0	0	14724	0	0	14477	0	0	14259	0	0	13954	0	0	13597	0	0	13324	0	0	13059	1	0.0779970361126277	12821	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kramfors	0	0	18435	0	0	18450	0	0	18516	0	0	18742	0	0	18911	0	0	19214	0	0	19473	0	0	19663	0	0	19816	0	0	20107	0	0	20383	0	0	20508	0	0	20711	0	0	20951	2	0.0935366195865681	21382	1	0.0457268279299465	21869	2	0.0895535754264989	22333
Kristianstad	0	0	81826	1	0.0123443074226321	81009	0	0	80507	0	0	79930	0	0	79543	0	0	78788	1	0.0128242943432038	77977	0	0	77245	1	0.0130650640188137	76540	2	0.0263452545610222	75915	2	0.0264578262249974	75592	0	0	75294	0	0	74951	0	0	74518	1	0.0134841763190895	74161	0	0	73897	0	0	73854
Kristinehamn	0	0	24114	0	0	23949	1	0.0421425260230098	23729	1	0.0421976538104481	23698	0	0	23808	0	0	23963	1	0.0417397111611988	23958	0	0	23906	0	0	23848	1	0.0418427549269844	23899	0	0	23990	1	0.0417606280798463	23946	1	0.0417310019613571	23963	0	0	23969	0	0	24297	0	0	24731	0	0	25057
Krokom	0	0	14648	0	0	14643	0	0	14590	0	0	14559	0	0	14535	1	0.0691562932226833	14460	0	0	14324	0	0	14304	0	0	14270	0	0	14130	0	0	14126	0	0	14088	0	0	14005	1	0.0711895778458034	14047	0	0	14154	0	0	14221	0	0	14279
Kumla	0	0	21016	1	0.0478377344048986	20904	3	0.144661973189314	20738	0	0	20510	0	0	20456	2	0.098941327792619	20214	0	0	20157	1	0.0503727584122507	19852	0	0	19643	1	0.0513531556514148	19473	0	0	19383	0	0	19279	0	0	19105	0	0	18935	0	0	18983	0	0	18932	0	0	18778
Kungsbacka	1	0.012784617548166	78219	0	0	77390	2	0.026046414711015	76786	1	0.0131658635489902	75954	0	0	75025	0	0	73938	3	0.0412791017667456	72676	2	0.0278001723610686	71942	2	0.02815156804234	71044	1	0.0143231591159746	69817	1	0.0145568883195528	68696	0	0	67653	0	0	66573	3	0.0455394143631313	65877	2	0.0307158324758497	65113	2	0.0312031952071892	64096	1	0.0158373190586298	63142
Kungsör	0	0	8269	0	0	8175	0	0	8030	0	0	8086	0	0	8089	0	0	8116	0	0	8170	0	0	8219	0	0	8211	0	0	8303	0	0	8287	0	0	8235	0	0	8222	0	0	8185	0	0	8148	0	0	8155	0	0	8178
Kungälv	3	0.070865025747626	42334	0	0	42109	2	0.047900749646732	41753	0	0	41538	0	0	41241	4	0.0982149434036389	40727	3	0.0745008443429026	40268	6	0.15132790234306	39649	0	0	38899	2	0.0516755807043382	38703	0	0	38257	1	0.0262095717355978	38154	1	0.0263768727579658	37912	1	0.0265950373660275	37601	0	0	37191	0	0	36767	0	0	36615
Kävlinge	0	0	29808	0	0	29600	2	0.0679647942365855	29427	0	0	29261	0	0	29013	0	0	28638	1	0.0353919660237126	28255	1	0.0360412311684567	27746	0	0	27369	0	0	26704	0	0	26024	1	0.0391558009319081	25539	0	0	25191	0	0	24958	0	0	24583	1	0.0413479429398387	24185	1	0.0414198732551878	24143
Köping	2	0.0788146279949559	25376	2	0.0792487221143559	25237	2	0.0804699444757383	24854	1	0.0403112024831701	24807	0	0	24905	1	0.0402463074012959	24847	2	0.0808407437348424	24740	2	0.0811490708431388	24646	2	0.0811062897927734	24659	3	0.121723606264708	24646	2	0.0810471289054585	24677	0	0	24585	0	0	24647	2	0.0808080808080808	24750	1	0.0403828292210152	24763	0	0	24915	0	0	25219
Laholm	0	0	23781	0	0	23517	1	0.0426293801688123	23458	1	0.0426075841499787	23470	1	0.0427533133817871	23390	0	0	23345	0	0	23258	0	0	23189	0	0	23153	0	0	23037	0	0	22955	0	0	22883	0	0	22750	0	0	22749	0	0	22747	0	0	22732	0	0	22847
Landskrona	0	0	43574	3	0.0696492001950178	43073	2	0.0469924812030075	42560	3	0.0711085828059447	42189	6	0.143802128271498	41724	1	0.0242565371367584	41226	3	0.0734214390602056	40860	0	0	40419	2	0.0499775101204458	40018	0	0	39346	0	0	39039	1	0.0258678669356925	38658	0	0	38475	0	0	38297	0	0	37728	0	0	37336	0	0	37254
Laxå	0	0	5664	0	0	5580	0	0	5552	0	0	5622	0	0	5686	0	0	5786	0	0	5870	0	0	5922	0	0	6046	0	0	6136	0	0	6267	0	0	6366	0	0	6471	0	0	6577	1	0.149276011344977	6699	0	0	6770	0	0	6803
Lekeberg	0	0	7363	0	0	7289	0	0	7298	0	0	7223	0	0	7134	0	0	7123	0	0	7111	0	0	7097	0	0	7096	0	0	7081	0	0	7061	0	0	7040	0	0	7027	0	0	7033	1	0.142694063926941	7008	0	0	7002	0	0	7064
Leksand	0	0	15252	0	0	15157	0	0	15146	0	0	15238	0	0	15289	0	0	15303	0	0	15288	0	0	15338	0	0	15450	1	0.0647668393782383	15440	0	0	15504	0	0	15419	0	0	15301	0	0	15313	0	0	15240	0	0	15368	0	0	15479
Lerum	2	0.050287898217294	39771	0	0	39319	0	0	39070	2	0.051562338867691	38788	1	0.0259201658890617	38580	0	0	38301	0	0	38085	4	0.106069846994246	37711	2	0.0539199827456055	37092	2	0.0547855147099107	36506	1	0.0276060070671378	36224	0	0	35890	1	0.0281230665391754	35558	1	0.0283109676688749	35322	1	0.0283977963310047	35214	0	0	35116	0	0	35064
Lessebo	0	0	8256	0	0	8059	0	0	8012	0	0	8077	0	0	8139	0	0	8165	0	0	8085	0	0	8070	0	0	8099	1	0.123046634674542	8127	1	0.121980970968529	8198	0	0	8227	0	0	8255	0	0	8386	0	0	8365	0	0	8433	0	0	8541
Lidingö	0	0	45465	0	0	45178	0	0	44434	0	0	44081	1	0.0227184951268828	44017	0	0	43445	0	0	43111	1	0.0234137204401779	42710	0	0	42321	0	0	41892	0	0	41407	1	0.0242753799096956	41194	0	0	41192	0	0	40895	0	0	40584	0	0	40630	1	0.0247690288063805	40373
Lidköping	2	0.0515982559789479	38761	0	0	38414	0	0	38254	1	0.0261896655579708	38183	0	0	38048	0	0	37989	0	0	37922	1	0.0264739364096047	37773	0	0	37526	0	0	37380	0	0	37241	0	0	37125	0	0	36941	0	0	36808	0	0	36802	0	0	36891	0	0	36833
Lilla Edet	0	0	13031	0	0	12829	0	0	12580	1	0.0797448165869219	12540	0	0	12578	0	0	12773	1	0.0779362481490141	12831	0	0	12835	0	0	12836	0	0	12889	2	0.155014726399008	12902	1	0.0770238003543095	12983	0	0	13010	0	0	12912	0	0	12944	0	0	12917	0	0	12984
Lindesberg	0	0	23269	0	0	23176	1	0.0435179946908046	22979	0	0	23108	0	0	23034	1	0.0434235094880368	23029	2	0.0865838347980432	23099	1	0.0432825484764543	23104	0	0	23074	1	0.0430514895815395	23228	1	0.0429184549356223	23300	1	0.0426584762392287	23442	0	0	23492	0	0	23473	0	0	23525	0	0	23673	0	0	24004
Linköping	2	0.01316820405449	151881	11	0.0732347105897391	150202	5	0.0336652729243676	148521	2	0.0135745992099583	147334	1	0.00682985466069282	146416	4	0.0276453106641786	144690	2	0.0140981087387127	141863	4	0.0284967264385504	140367	4	0.0288641939673835	138580	4	0.0290621639687291	137636	2	0.0146079233376183	136912	3	0.022021419500701	136231	0	0	135066	3	0.0223815456695439	134039	3	0.0225279346389523	133168	2	0.0150943396226415	132500	2	0.0151574862824749	131948
Ljungby	0	0	27522	1	0.0366609231220442	27277	0	0	27423	0	0	27357	0	0	27297	0	0	27410	1	0.0364564345607	27430	0	0	27276	0	0	27121	0	0	27093	0	0	27004	0	0	26897	0	0	26943	0	0	27055	0	0	27078	1	0.0368459837877671	27140	0	0	27376
Ljusdal	0	0	18949	0	0	18931	0	0	18880	0	0	18974	0	0	19065	0	0	19077	0	0	19133	0	0	19175	0	0	19243	0	0	19384	0	0	19592	1	0.0505791310505286	19771	0	0	19776	0	0	19858	0	0	20006	0	0	20147	0	0	20167
Ljusnarsberg	0	0	4913	0	0	4875	0	0	4848	0	0	4870	0	0	4931	0	0	5055	0	0	5129	0	0	5188	0	0	5243	0	0	5317	0	0	5389	0	0	5415	0	0	5482	0	0	5536	0	0	5651	0	0	5755	0	0	5859
Lomma	0	0	22946	0	0	22496	0	0	22298	0	0	22017	0	0	21559	0	0	21065	0	0	20449	0	0	20023	0	0	19434	0	0	18854	0	0	18595	0	0	18311	0	0	18167	0	0	18129	0	0	18044	0	0	17858	0	0	17637
Ludvika	0	0	26030	1	0.0388923459863099	25712	0	0	25639	0	0	25586	0	0	25810	0	0	25650	0	0	25522	0	0	25425	0	0	25477	1	0.0391588675255512	25537	0	0	25782	0	0	26011	0	0	25975	0	0	26131	0	0	26450	0	0	26810	0	0	27129
Luleå	0	0	75966	1	0.0132655903851001	75383	1	0.0133502436419465	74905	6	0.0806169886867493	74426	3	0.0404432581088732	74178	1	0.0135226504394861	73950	4	0.0544914584638858	73406	2	0.0273425751237252	73146	5	0.0682007283837791	73313	5	0.0687275776277989	72751	5	0.068903741473162	72565	3	0.0415299638689314	72237	2	0.0277242545641054	72139	2	0.0277963086502113	71952	2	0.0279126891084687	71652	0	0	71251	0	0	71360
Lund	3	0.0258692052980132	115968	0	0	114291	3	0.0265604249667995	112950	1	0.00895527734493937	111666	5	0.0452537832162769	110488	1	0.00916195589434433	109147	8	0.0745218954644111	107351	4	0.0379917557889938	105286	3	0.0290455628061886	103286	4	0.0391171264558905	102257	2	0.0197193930370823	101423	0	0	100995	0	0	100402	2	0.0200758868523017	99622	6	0.0606379108218458	98948	3	0.0305150948002278	98312	2	0.0204133707578464	97975
Lycksele	0	0	12208	0	0	12270	0	0	12351	0	0	12343	0	0	12376	0	0	12427	0	0	12477	0	0	12503	0	0	12612	0	0	12701	0	0	12785	0	0	12820	0	0	12884	0	0	12988	0	0	13058	0	0	13224	0	0	13386
Lysekil	0	0	14299	0	0	14369	0	0	14396	0	0	14398	0	0	14521	0	0	14535	0	0	14659	1	0.0683386865304449	14633	0	0	14631	0	0	14657	0	0	14767	0	0	14798	0	0	14801	0	0	14792	0	0	14848	0	0	14993	0	0	15165
Malmö	14	0.0440103487191417	318107	6	0.0191696965437037	312994	14	0.0454902878235497	307758	15	0.0495319233245827	302835	7	0.0234142686553186	298963	24	0.0816579281342184	293909	23	0.0802694260736036	286535	15	0.053418613181577	280801	16	0.0579198100230231	276244	15	0.0552952582472878	271271	13	0.0483016400264544	269142	17	0.0636296604047595	267171	11	0.0414342269314942	265481	8	0.0304881534468763	262397	6	0.0231143505445356	259579	10	0.0388237943270672	257574	4	0.0156921821548505	254904
Malung-Sälen	0	0	9969	0	0	10061	0	0	10178	0	0	10262	0	0	10356	0	0	10408	0	0	10385	0	0	10428	0	0	10518	0	0	10513	1	0.0947238798901203	10557	0	0	10538	0	0	10593	0	0	10640	0	0	10799	1	0.091533180778032	10925	0	0	10972
Malå	0	0	3115	0	0	3155	0	0	3196	0	0	3230	0	0	3274	0	0	3295	0	0	3369	0	0	3338	0	0	3348	0	0	3421	0	0	3464	1	0.28587764436821	3498	0	0	3553	0	0	3579	0	0	3610	0	0	3723	0	0	3821
Mariestad	0	0	23921	0	0	23870	0	0	23739	1	0.0421371987190292	23732	0	0	23741	0	0	23799	0	0	23825	0	0	23871	0	0	23933	0	0	23895	0	0	23897	0	0	23847	1	0.0421176767889483	23743	0	0	23725	0	0	23800	1	0.0417553968850474	23949	0	0	24020
Mark	1	0.029509841532151	33887	1	0.0296269961188635	33753	0	0	33763	0	0	33791	0	0	33845	0	0	33821	0	0	33807	0	0	33729	1	0.0297672203369649	33594	0	0	33494	0	0	33356	1	0.0301041603949666	33218	0	0	33015	0	0	32954	0	0	32951	0	0	33024	1	0.0301868566426178	33127
Markaryd	0	0	9549	0	0	9515	0	0	9477	0	0	9513	0	0	9619	0	0	9559	0	0	9600	0	0	9641	0	0	9613	0	0	9571	0	0	9636	0	0	9594	1	0.104004160166407	9615	0	0	9716	0	0	9798	0	0	9927	0	0	10039
